year,id,name,surface,held
2010,D101,Fed Cup G2 RRA: ECU vs DOM                                                                          ,Clay,2010-04-22
2010,D016,Fed Cup WG2 PO: POL vs ESP                                                                          ,Carpet,2010-04-24
2015,W-INT-LUX-01A-2015,Luxembourg                                                                                          ,Hard,2015-10-19
2018,W-FC-2018-G1-AO-A-M-CHN-IND-01,Fed Cup G1 RR: CHN vs IND                                                                           ,Hard,2018-02-07
2010,W-INT-FRA-01A-2010,Strasbourg                                                                                          ,Clay,2010-05-17
2012,D133,Fed Cup G2 RRA: ECU vs TRI                                                                          ,Clay,2012-04-17
2018,W-FC-2018-G1-AM-PPO-PAR-BRA-01,Fed Cup G1 PPO: PAR vs BRA                                                                          ,Clay,2018-02-10
2014,D012,Fed Cup G1 RR: COL vs BAH                                                                           ,Clay,2014-02-05
2010,D014,Fed Cup WG PO: GER vs FRA                                                                           ,Clay,2010-04-24
2012,D091,Fed Cup G2 PO: SIN vs TKM                                                                           ,Hard,2012-02-04
2018,W-FC-2018-G2-EPA-REL-EGY-BIH-01,Fed Cup G2 REL: EGY vs BIH                                                                          ,Clay,2018-04-21
2019,0405,Hiroshima                                                                                           ,Hard,2019-09-09
2017,0804,Charleston                                                                                          ,Clay,2017-04-03
2011,D141,Fed Cup G2 RRB: BAH vs PAN                                                                          ,Hard,2011-05-17
2011,D067,Fed Cup G1 RRA: ARG vs BOL                                                                          ,Clay,2011-02-02
2016,M021,Madrid                                                                                              ,Clay,2016-05-02
2016,W-FC-2016-G2-AM-A-M-VEN-CHI-01,Fed Cup G2 RR: VEN vs CHI                                                                           ,Hard,2016-02-04
2012,D096,Fed Cup G1 PO: BUL vs POR                                                                           ,Hard,2012-02-04
2014,D106,Fed Cup WG PO: ESP vs POL                                                                           ,Clay,2014-04-19
2011,D073,Fed Cup G1 RRB: COL vs MEX                                                                          ,Clay,2011-02-02
2012,D046,Fed Cup G1 RRA: PER vs BAH                                                                          ,Clay,2012-02-02
2012,D036,Fed Cup G1 RRD: POL vs CRO                                                                          ,Hard,2012-02-02
2017,W-FC-2017-WG2-PO-ITA-TPE-01,Fed Cup WG2 R1: ITA vs TPE                                                                          ,Clay,2017-04-22
2016,W-FC-2016-WG-M-FRA-NED-01,Fed Cup WG SF: FRA vs NED                                                                           ,Clay,2016-04-16
2011,D061,Fed Cup G2 RRB: HKG vs OMA                                                                          ,Hard,2011-01-31
2017,W-FC-2017-WG-PO-NED-SVK-01,Fed Cup WG R1: NED vs SVK                                                                           ,Clay,2017-04-22
2013,W-INT-LUX-01A-2013,Luxembourg                                                                                          ,Hard,2013-10-14
2019,0406,Strasbourg                                                                                          ,Clay,2019-05-20
2013,W-INT-NZL-01A-2013,Auckland                                                                                            ,Hard,2012-12-31
2012,D099,Fed Cup G1 PO: EST vs NED                                                                           ,Hard,2012-02-04
2017,W-FC-2017-G1-EPA-D-M-ISR-EST-01,Fed Cup G1 RR: ISR vs EST                                                                           ,Hard,2017-02-10
2019,W-FC-2019-G1-AM-B-M-BRA-CHI-01,Fed Cup G1 RR: BRA vs CHI                                                                           ,Clay,2019-02-06
2014,D114,Fed Cup G2 RR: PUR vs CHI                                                                           ,Hard,2014-04-11
